iso2c,call_year,funding_scheme,research_domain,research_panel,projects,n
AL,2008,AdG,PE,PE2,evaluated,1
AL,2008,AdG,PE,PE2,granted,0
AL,2011,AdG,SH,SH6,evaluated,1
AL,2011,AdG,SH,SH6,granted,0
AL,2018,StG,PE,PE7,evaluated,1
AL,2018,StG,PE,PE7,granted,0
AL,2018,StG,SH,SH1,evaluated,1
AL,2018,StG,SH,SH1,granted,0
AM,2018,AdG,PE,PE3,evaluated,1
AM,2018,AdG,PE,PE3,granted,0
AM,2019,StG,PE,PE9,evaluated,1
AM,2019,StG,PE,PE9,granted,0
AT,2007,StG,LS,LS1,evaluated,17
AT,2007,StG,LS,LS1,granted,3
AT,2007,StG,LS,LS2,evaluated,5
AT,2007,StG,LS,LS2,granted,0
AT,2007,StG,LS,LS3,evaluated,8
AT,2007,StG,LS,LS3,granted,0
AT,2007,StG,LS,LS4,evaluated,5
AT,2007,StG,LS,LS4,granted,0
AT,2007,StG,LS,LS5,evaluated,6
AT,2007,StG,LS,LS5,granted,0
AT,2007,StG,LS,LS6,evaluated,4
AT,2007,StG,LS,LS6,granted,0
AT,2007,StG,LS,LS7,evaluated,3
AT,2007,StG,LS,LS7,granted,0
AT,2007,StG,PE,PE1,evaluated,10
AT,2007,StG,PE,PE1,granted,0
AT,2007,StG,PE,PE2,evaluated,14
AT,2007,StG,PE,PE2,granted,0
AT,2007,StG,PE,PE3,evaluated,11
AT,2007,StG,PE,PE3,granted,1
AT,2007,StG,PE,PE4,evaluated,8
AT,2007,StG,PE,PE4,granted,0
AT,2007,StG,PE,PE5,evaluated,13
AT,2007,StG,PE,PE5,granted,0
AT,2007,StG,PE,PE6,evaluated,7
AT,2007,StG,PE,PE6,granted,0
AT,2007,StG,PE,PE8,evaluated,6
AT,2007,StG,PE,PE8,granted,0
AT,2007,StG,SH,SH1,evaluated,11
AT,2007,StG,SH,SH1,granted,0
AT,2007,StG,SH,SH2,evaluated,9
AT,2007,StG,SH,SH2,granted,0
AT,2007,StG,SH,SH3,evaluated,7
AT,2007,StG,SH,SH3,granted,0
AT,2007,StG,SH,SH4,evaluated,1
AT,2007,StG,SH,SH4,granted,0
AT,2007,StG,SH,SH5,evaluated,3
AT,2007,StG,SH,SH5,granted,1
AT,2008,AdG,LS,LS1,evaluated,3
AT,2008,AdG,LS,LS1,granted,0
AT,2008,AdG,LS,LS2,evaluated,1
AT,2008,AdG,LS,LS2,granted,0
AT,2008,AdG,LS,LS4,evaluated,1
AT,2008,AdG,LS,LS4,granted,1
AT,2008,AdG,LS,LS5,evaluated,3
AT,2008,AdG,LS,LS5,granted,1
AT,2008,AdG,LS,LS7,evaluated,2
AT,2008,AdG,LS,LS7,granted,0
AT,2008,AdG,LS,LS8,evaluated,1
AT,2008,AdG,LS,LS8,granted,0
AT,2008,AdG,LS,LS9,evaluated,3
AT,2008,AdG,LS,LS9,granted,0
AT,2008,AdG,PE,PE1,evaluated,6
AT,2008,AdG,PE,PE1,granted,1
